time,original,ema,median,kalman,butterworth
23626240,356,253.62847761694937,58.0,187.9373108472479,309.9988049359557
23651244,369,299.7770865701696,136.0,236.8525210600481,346.15563408991454
23676248,397,338.6662519421018,195.0,280.1173573112591,370.0537805901463
23701252,407,365.99975116526105,206.0,314.3954914123125,383.6053340769693
23726256,403,380.79985069915665,248.0,338.3325498071105,387.98643405958376
23751260,430,400.479910419494,356.0,363.097080903154,381.8746600299275
23776263,374,389.88794625169635,369.0,366.0425722247009,363.14421306910947
23801267,332,366.73276775101783,369.0,356.8457598701089,337.7964608931455
23826271,340,356.0396606506107,369.0,352.29477319750094,309.35870992399293
23851275,292,330.4237963903664,369.0,336.00576567480425,273.2501502324176
23876279,243,295.45427783421985,369.0,310.8796803378775,228.61407805157418
23901283,185,251.2725667005319,369.0,276.8725027461833,178.38394822787743
23926286,153,211.96354002031916,340.0,243.40757664921477,122.10796956206445
23951290,60,151.1781240121915,332.0,193.85888051310502,58.62179126799588
23976298,13,95.90687440731489,292.0,144.99873047033856,-10.80060203220772
24001306,-128,6.344124644388927,243.0,71.24642760070438,-80.36155794865715
24026310,-154,-57.79352521336664,185.0,10.394705982477923,-141.21587962108745
24051310,-205,-116.67611512801999,153.0,-47.795511842954504,-193.29641657133942
24076317,-257,-172.805669076812,60.0,-104.31340387000779,-239.8669448858439
24101321,-282,-216.4834014460872,13.0,-152.3165415808529,-281.6514001632648
24126325,-342,-266.6900408676523,-128.0,-203.56070616208189,-319.24185253161505
24151329,-374,-309.6140245205914,-154.0,-249.60594013941162,-349.5685810842264
24176333,-392,-342.56841471235487,-205.0,-288.0745799443721,-370.24696446296855
24201337,-402,-366.3410488274129,-257.0,-318.85223986248616,-381.82017891551976
24226340,-395,-377.80462929644773,-282.0,-339.42403028374736,-386.0505365364578
24251344,-418,-393.88277757786864,-342.0,-360.65181660643105,-382.698507981865
24276348,-398,-395.52966654672116,-374.0,-370.741660352325,-368.0294602381932
24301352,-350,-377.3177999280327,-374.0,-365.13817196361265,-342.77213382388686
24326356,-317,-353.1906799568196,-374.0,-352.13334577949735,-312.4545559968173
24351360,-308,-335.11440797409176,-374.0,-340.210448266487,-277.2760519151141
24376363,-251,-301.468644784455,-374.0,-316.10969150344175,-233.4667371431501
24401368,-201,-261.281186870673,-374.0,-285.0120932971586,-180.768795333048
24426371,-100,-196.7687121224038,-350.0,-235.02992702155532,-124.62238950655185
24451375,-90,-154.06122727344228,-317.0,-195.8491913293912,-69.3390623051522
24476379,-14,-98.03673636406536,-308.0,-146.72150266792136,-12.137749357616514
24501383,50,-38.82204181843922,-251.0,-93.57596671345853,47.30481979468753
24526390,116,23.106774908936476,-201.0,-36.957717446813156,105.27456946745127
24551398,168,81.06406494536189,-100.0,18.412883092476314,159.91375430424446
24576402,211,133.03843896721713,-90.0,70.44148905149405,211.86271956162233
24601406,304,201.4230633803303,-14.0,133.53877161972395,258.4474761618426
24626410,295,238.85383802819817,50.0,177.15852544308143,295.789014594374
24651414,359,286.9123028169189,116.0,226.28412937053218,325.08190544370603
24676417,371,320.5473816901513,168.0,265.3800207774959,344.7325929875245
24701421,371,340.7284290140908,211.0,293.9139142622092,353.65816079337355
24726425,368,351.6370574084545,295.0,313.92873053752845,354.93571427305415
24751430,386,365.3822344450727,304.0,333.39923168029014,347.7712910755931
24776434,314,344.8293406670436,314.0,328.1584087363226,333.3567137699634
24801437,356,349.2976044002262,356.0,335.6799875645963,314.72753534599286
24826444,317,336.3785626401357,356.0,330.63347288633554,286.4080441819492
24851452,269,309.42713758408144,356.0,313.98280732686953,245.0243181595111
24876460,196,264.0562825504488,356.0,282.1090190334606,195.46993263580316
24901460,146,216.8337695302693,356.0,245.3383220498156,143.0207477729419
24926464,77,160.9002617181616,317.0,199.86067865200883,91.38778974104471
24951468,41,112.94015703089697,314.0,156.94347949202384,42.58404812608175
24976475,-4,66.16409421853818,269.0,113.46359874701731,-4.452387608543276
25001479,-42,22.898456531122907,196.0,71.4641418255901,-52.50401471358539
25026483,-120,-34.260926081326254,146.0,19.738914560733797,-100.78796758445111
25051483,-132,-73.35655564879576,77.0,-21.25429579050885,-147.82180812546332
25076490,-180,-116.01393338927745,41.0,-64.14043389064122,-198.00016360687346
25101498,-289,-185.20836003356646,-4.0,-124.88764247384674,-249.44620800466822
25126502,-322,-239.92501602013988,-42.0,-178.13877029620113,-291.4179744951287
25151506,-346,-282.3550096120839,-120.0,-223.48752423309506,-320.33008350867203
25176510,-359,-313.0130057672503,-132.0,-260.09706134762985,-338.67724866654845
25201514,-364,-333.4078034603502,-180.0,-288.16708565628585,-348.5785349228808
25226518,-360,-344.0446820762101,-289.0,-307.57319368308384,-352.40842955397346
25251523,-389,-362.0268092457261,-322.0,-329.57115122246785,-348.93614651739506
25276527,-345,-355.2160855474357,-345.0,-333.73935056174633,-335.40875977192394
25301533,-329,-344.7296513284614,-345.0,-332.4589855672532,-314.23363479966537
25326534,-304,-328.43779079707684,-345.0,-324.7706138326943,-287.2890867290028
25351541,-280,-309.0626744782461,-345.0,-312.6755543964855,-252.52639950775836
25376550,-223,-274.63760468694767,-345.0,-288.44914632324156,-208.902586637075
25401554,-164,-230.3825628121686,-345.0,-254.8284363818949,-159.01104112365047
25426558,-112,-183.02953768730117,-329.0,-216.2424470614123,-106.01317006138643
25451566,-29,-121.41772261238071,-304.0,-165.6577368617246,-53.82803288118471
25476570,-13,-78.05063356742843,-280.0,-124.4163009582631,-5.3664679001329745
25501570,42,-30.03038014045706,-223.0,-79.45790349768757,42.11951043139116
25526577,86,16.381771915725764,-164.0,-34.75842306452852,90.92819064153554
25551585,157,72.62906314943547,-112.0,17.04630610506429,138.89710716426907
25576589,191,119.97743788966127,-29.0,64.04097708879937,182.78527950954805
25601593,228,163.18646273379676,-13.0,108.33552562066515,222.5411606791935
25626600,299,217.51187764027804,42.0,159.84471775748406,255.86270977915643
25651608,294,248.10712658416685,86.0,196.0876006106932,278.05816615938215
25676616,282,261.66427595050015,157.0,219.29736898251193,293.7118915611459
25701626,341,293.3985655703001,191.0,252.17609075300874,306.5823486785308
25726633,327,306.83913934218003,228.0,272.39023463260344,312.00032102992867
25751635,340,320.10348360530804,282.0,290.6554327297899,307.3927709373628
25776643,301,312.4620901631848,294.0,293.4500818369612,293.74726146609066
25801651,281,299.8772540979109,294.0,290.0866148903958,274.56908529540095
25826658,275,289.9263524587466,294.0,286.0108721616402,250.8132503741132
25851662,250,273.95581147524797,294.0,276.28231135225747,218.09803863258946
25876670,169,231.97348688514876,294.0,247.2993285164975,177.1309112776484
25901670,142,195.98409213108926,282.0,218.85206081185294,133.6889005203529
25926678,101,157.99045527865354,281.0,187.0135945016563,88.02921170538508
25951685,26,105.19427316719212,275.0,143.51477175125214,40.30871139744995
25976693,-10,59.11656390031527,250.0,102.04180254859403,-5.310449231238522
26001697,-23,26.269938340189157,169.0,68.26098284646399,-51.41842431935399
26026704,-112,-29.03803699588651,142.0,19.562358572404165,-101.86782552830513
26051717,-174,-87.02282219753192,101.0,-32.72971498045707,-150.75821218251107
26076724,-174,-121.81369331851917,26.0,-70.89476003136403,-196.08001892216095
26101728,-308,-196.28821599111149,-10.0,-134.95021347620747,-236.13778122404875
26126736,-252,-218.5729295946669,-23.0,-166.57194040385968,-264.9657699067882
26151740,-311,-255.54375775680015,-112.0,-205.59007787232477,-286.51801197837364
26176744,-319,-280.9262546540801,-174.0,-236.22847282299546,-302.66238989780413
26201748,-325,-298.55575279244806,-174.0,-260.21065232719553,-311.5064156714949
26226752,-315,-305.1334516754688,-252.0,-275.0123349453988,-315.9743702907535
26251765,-363,-328.2800710052813,-308.0,-298.78274922798073,-314.2076809685826
26276771,-317,-323.76804260316874,-311.0,-303.7042526872652,-300.7824879757006
26301774,-288,-309.46082556190123,-311.0,-299.4616512709986,-277.92278785956063
26326777,-267,-292.4764953371407,-311.0,-290.6919345325273,-249.4960924079448
26351781,-228,-266.6858972022844,-311.0,-273.7553189843147,-215.07524101486536
26376788,-186,-234.41153832137064,-311.0,-250.04767443592465,-175.0424300327146
26401790,-141,-197.04692299282237,-311.0,-220.5877677969031,-130.30443595585385
26426793,-75,-148.2281537956934,-288.0,-181.25632795404348,-83.05630714919991
26451799,-29,-100.53689227741603,-267.0,-140.12333516049264,-37.216984236284205
26476799,4,-58.72213536644961,-228.0,-101.18752089122687,6.332805483603458
26501805,51,-14.833281219869765,-186.0,-60.07311675311657,49.344576465986655
26526813,91,27.50003126807814,-141.0,-19.259775815452237,92.39994250481757
26551821,160,80.50001876084688,-75.0,29.168366159810198,132.75872241025613
26576828,171,116.70001125650813,-29.0,67.48506308164173,167.24440576946412
26601836,214,155.62000675390487,4.0,107.06698342211806,196.3113436859213
26626844,216,179.77200405234294,51.0,136.49591452854946,221.94943026474036
26651851,260,211.86320243140574,91.0,169.86131041018808,245.48993006646515
26676859,285,241.11792145884345,160.0,200.96674262963657,264.53152207704716
26701867,294,262.2707528753061,171.0,226.1002550188935,275.9819631901066
26726875,289,272.96245172518366,214.0,243.0930118506816,280.7403099471913
26751882,303,284.97747103511017,216.0,259.2772568337408,279.5018353354217
26776890,314,296.5864826210661,260.0,274.0609458307622,267.77758593508906
26801894,238,273.1518895726397,260.0,264.318857308615,244.77276835702156
26826901,228,255.09113374358378,260.0,254.50709239861285,217.28417980980512
26851906,213,238.25468024615026,260.0,243.29369355039736,185.43231799782416
26876909,149,202.55280814769014,260.0,217.8196664974365,146.51976508720077
26901917,102,162.3316848886141,260.0,186.53026413625207,104.50490794191415
26926921,55,119.39901093316846,238.0,150.99654623072567,63.644689024910406
26951921,50,91.63940655990108,228.0,123.71170188891362,21.929263838108902
26976928,-65,28.98364393594064,213.0,72.73006337075405,-20.049242390417177
27001936,-56,-5.009813638435617,149.0,37.95283709651466,-55.59714181699323
27026948,-68,-30.205888183061372,102.0,9.329019989467039,-88.5393542049577
27051952,-143,-75.32353290983683,55.0,-31.82361100900707,-123.68922115830532
27076959,-168,-112.39411974590209,50.0,-68.61250840517295,-155.69965712362585
27101966,-172,-136.23647184754125,-56.0,-96.54328148934269,-184.4602349718684
27126969,-207,-164.54188310852476,-65.0,-126.3838501379542,-215.39199734618103
27151973,-279,-210.32512986511486,-68.0,-167.61405105511938,-245.92826308467306
27176977,-289,-241.79507791906892,-143.0,-200.40721919651293,-268.36483029122587
27201986,-300,-265.07704675144134,-168.0,-227.3128275881458,-281.17437091272296
27226992,-288,-274.24622805086483,-172.0,-243.70784419613358,-287.95669554340816
27251998,-353,-305.7477368305189,-207.0,-273.23379899539145,-285.84576445689623
27277002,-272,-292.24864209831134,-272.0,-272.90048053258545,-269.6047523304374
27302006,-256,-277.7491852589868,-272.0,-268.3347107330917,-244.76920649882902
27327013,-223,-255.84951115539207,-272.0,-256.08725701514294,-216.71586135997717
27352017,-203,-234.70970669323526,-272.0,-241.74540476127564,-184.2677515420264
27377021,-136,-195.22582401594116,-272.0,-213.17762678813588,-148.6011717539639
27402025,-126,-167.5354944095647,-272.0,-189.6260493750933,-112.174563985276
27427032,-57,-123.32129664573881,-256.0,-153.7962982804167,-76.17413432239002
27452036,-55,-95.99277798744329,-223.0,-127.10586459003846,-41.291110258444036
27477040,-20,-65.59566679246598,-203.0,-98.17054994315659,-3.8918089796296726
27502044,50,-19.357400075479582,-136.0,-58.14135545957541,36.89925313037699
27527051,81,20.785559954712248,-126.0,-20.551453953930846,76.14578725026148
27552056,101,52.87133597282735,-57.0,12.28642639375348,114.4223837366569
27577059,172,100.5228015836964,-55.0,55.43404042369977,153.00891575139212
27602067,212,145.11368095021786,-20.0,97.73130697088173,186.41386588696565
27627071,227,177.86820857013072,50.0,132.6540473932265,210.90581795960352
27652075,242,203.52092514207845,81.0,162.19453573296857,227.97915095812718
27677079,255,224.11255508524707,101.0,187.26650840033886,238.8200436655886
