xAccl,yAccl,zAccl,time
-1029,190,350,136.09999999999582
-982,148,387,136.11999999999583
-909,178,491,136.13999999999584
-1084,46,489,136.15999999999585
-856,148,567,136.17999999999586
-796,121,612,136.19999999999587
-754,99,724,136.21999999999588
-510,122,810,136.2399999999959
-339,123,823,136.2599999999959
539,136,980,136.2799999999959
-491,83,911,136.29999999999592
22,56,965,136.31999999999593
134,56,952,136.33999999999594
235,48,874,136.35999999999595
334,80,859,136.37999999999596
636,54,802,136.39999999999597
855,0,723,136.41999999999598
1081,-109,619,136.439999999996
926,-109,487,136.459999999996
832,2,391,136.479999999996
836,223,515,136.49999999999602
843,-42,309,136.51999999999603
965,10,284,136.53999999999604
973,-8,289,136.55999999999605
1020,16,271,136.57999999999606
1029,18,294,136.59999999999607
996,-2,287,136.61999999999608
1007,12,314,136.6399999999961
1057,6,351,136.6599999999961
1088,-128,458,136.6799999999961
921,-52,376,136.69999999999612
1317,-30,459,136.71999999999613
787,25,502,136.73999999999614
808,42,724,136.75999999999615
759,-132,644,136.77999999999616
1156,-386,767,136.79999999999617
603,-93,750,136.81999999999618
-2048,1514,1922,136.8399999999962
745,-121,1055,136.8599999999962
-660,230,1014,136.87999999999622
-352,234,1016,136.89999999999623
181,-25,928,136.91999999999624
-11,103,991,136.93999999999625
-475,37,791,136.95999999999626
-555,143,847,136.97999999999627
-621,99,768,136.99999999999628
-732,154,724,137.0199999999963
-767,149,673,137.0399999999963
-799,166,638,137.0599999999963
-848,155,578,137.07999999999632
-893,150,566,137.09999999999633
-905,158,551,137.11999999999634
-905,154,541,137.13999999999635
-898,155,549,137.15999999999636
-814,173,568,137.17999999999637
-854,152,569,137.19999999999638
-908,160,615,137.2199999999964
-683,223,650,137.2399999999964
-802,130,673,137.2599999999964
-745,154,742,137.27999999999642
-640,125,791,137.29999999999643
-547,117,831,137.31999999999644
-412,105,885,137.33999999999645
-445,104,904,137.35999999999646
-75,-98,841,137.37999999999647
232,68,952,137.39999999999648
19,48,959,137.4199999999965
173,47,945,137.4399999999965
266,19,913,137.4599999999965
408,54,913,137.47999999999652
716,-16,843,137.49999999999653
523,88,830,137.51999999999654
643,-27,684,137.53999999999655
525,34,739,137.55999999999656
600,19,616,137.57999999999657
805,9,513,137.59999999999658
876,65,573,137.6199999999966
894,26,534,137.6399999999966
909,-159,406,137.65999999999661
852,27,495,137.67999999999662
881,7,513,137.69999999999663
841,145,616,137.71999999999665
863,11,568,137.73999999999666
793,-250,457,137.75999999999667
892,-330,545,137.77999999999668
700,29,638,137.7999999999967
616,107,802,137.8199999999967
526,117,850,137.8399999999967
596,-16,823,137.85999999999672
485,40,896,137.87999999999673
262,17,928,137.89999999999674
136,30,944,137.91999999999675
18,41,968,137.93999999999676
-177,98,953,137.95999999999677
-129,55,953,137.97999999999678
-181,75,905,137.9999999999968
-339,79,885,138.0199999999968
-517,114,856,138.0399999999968
-715,214,862,138.05999999999682
-674,148,766,138.07999999999683
-744,123,728,138.09999999999684
-782,118,697,138.11999999999685
-822,135,658,138.13999999999686
-833,153,654,138.15999999999687
-846,137,619,138.17999999999688
-855,135,609,138.1999999999969
-870,140,630,138.2199999999969
-844,150,656,138.2399999999969
-838,147,660,138.25999999999692
-790,102,668,138.27999999999693
-753,113,716,138.29999999999694
-681,122,774,138.31999999999695
-627,139,798,138.33999999999696
-570,105,846,138.35999999999697
-491,68,871,138.37999999999698
-370,119,938,138.399999999997
-243,99,951,138.419999999997
-125,63,963,138.439999999997
32,74,1000,138.45999999999702
149,75,1013,138.47999999999703
190,49,934,138.49999999999704
340,35,912,138.51999999999705
556,65,884,138.53999999999706
429,61,881,138.55999999999707
537,48,842,138.57999999999709
685,16,758,138.5999999999971
679,27,709,138.6199999999971
780,-7,700,138.63999999999712
833,21,632,138.65999999999713
834,27,609,138.67999999999714
835,17,611,138.69999999999715
837,-2,606,138.71999999999716
881,-9,575,138.73999999999717
817,31,613,138.75999999999718
764,40,691,138.7799999999972
879,-52,627,138.7999999999972
780,-19,671,138.8199999999972
673,14,735,138.83999999999722
656,12,786,138.85999999999723
527,-2,839,138.87999999999724
475,35,886,138.89999999999725
358,26,916,138.91999999999726
316,55,926,138.93999999999727
154,32,955,138.95999999999728
50,51,944,138.9799999999973
-172,37,982,138.9999999999973
-132,83,992,139.0199999999973
-147,16,896,139.03999999999732
-322,64,932,139.05999999999733
-495,155,887,139.07999999999734
-590,101,860,139.09999999999735
-650,114,839,139.11999999999736
-683,164,751,139.13999999999737
-750,142,752,139.15999999999738
-746,122,713,139.1799999999974
-796,128,697,139.1999999999974
-793,121,689,139.2199999999974
-807,133,685,139.23999999999742
-825,131,686,139.25999999999743
-795,127,700,139.27999999999744
-746,100,710,139.29999999999745
-731,111,739,139.31999999999746
-684,127,774,139.33999999999747
-635,147,810,139.35999999999748
-551,105,833,139.3799999999975
-502,84,864,139.3999999999975
-493,76,891,139.41999999999751
-420,80,950,139.43999999999753
-225,59,958,139.45999999999754
-101,73,973,139.47999999999755
89,64,1003,139.49999999999756
61,72,971,139.51999999999757
192,60,958,139.53999999999758
235,48,948,139.5599999999976
482,20,893,139.5799999999976
537,7,880,139.5999999999976
550,-5,806,139.61999999999762
684,-4,747,139.63999999999763
812,-24,702,139.65999999999764
698,-18,707,139.67999999999765
800,29,690,139.69999999999766
786,14,683,139.71999999999767
800,2,648,139.73999999999768
791,6,663,139.7599999999977
803,8,677,139.7799999999977
796,10,675,139.7999999999977
754,-13,692,139.81999999999772
783,-12,711,139.83999999999773
678,14,768,139.85999999999774
632,15,792,139.87999999999775
584,12,828,139.89999999999776
478,42,869,139.91999999999777
402,37,908,139.93999999999778
315,38,925,139.9599999999978
181,62,976,139.9799999999978
49,38,990,139.9999999999978
-95,137,1007,140.01999999999782
-66,69,978,140.03999999999783
-195,60,973,140.05999999999784
-7,22,932,140.07999999999785
-523,151,960,140.09999999999786
-428,90,899,140.11999999999787
-531,113,869,140.13999999999788
-590,127,835,140.1599999999979
-615,125,797,140.1799999999979
-700,139,802,140.1999999999979
-695,124,759,140.21999999999792
-749,120,747,140.23999999999793
-765,137,727,140.25999999999794
-731,158,726,140.27999999999795
-758,139,782,140.29999999999797
-697,117,741,140.31999999999798
-695,130,766,140.33999999999799
-684,135,796,140.359999999998
-609,143,827,140.379999999998
-537,104,874,140.39999999999802
-450,92,904,140.41999999999803
-383,118,917,140.43999999999804
-280,139,969,140.45999999999805
-10,84,976,140.47999999999806
-163,93,978,140.49999999999807
-95,36,992,140.51999999999808
65,57,983,140.5399999999981
91,20,947,140.5599999999981
270,44,948,140.5799999999981
434,22,928,140.59999999999812
434,24,918,140.61999999999813
