xAccl,yAccl,zAccl,time
-1023,115,361,1742476826.7481518
-965,88,478,1742476826.7973113
-723,96,679,1742476826.847775
-358,159,917,1742476826.8975081
-129,9,924,1742476826.947506
288,85,921,1742476826.9984877
701,17,787,1742476827.0629096
750,-26,599,1742476827.114026
922,23,462,1742476827.1639817
998,-9,285,1742476827.2137895
1092,-5,335,1742476827.263974
1014,11,389,1742476827.3137107
947,28,523,1742476827.3641598
698,26,711,1742476827.4135532
557,-72,797,1742476827.4642053
224,-70,885,1742476827.5136404
-509,135,935,1742476827.5644724
-564,75,779,1742476827.6197698
-925,77,630,1742476827.664526
-991,117,499,1742476827.7134552
-1001,98,420,1742476827.7653751
-1165,31,302,1742476827.8137786
-1003,100,504,1742476827.8793945
-768,104,668,1742476827.9304395
-577,104,826,1742476827.9802222
-261,69,908,1742476828.0299394
152,36,959,1742476828.082989
411,52,851,1742476828.1306674
740,32,717,1742476828.180199
926,-16,539,1742476828.230211
929,25,456,1742476828.2807674
972,33,435,1742476828.3303022
941,-6,446,1742476828.3801277
870,13,564,1742476828.433393
682,42,731,1742476828.4799967
440,111,903,1742476828.529925
228,43,933,1742476828.5814605
-475,118,961,1742476828.6301563
-602,63,842,1742476828.680994
-774,93,723,1742476828.7449331
-916,83,562,1742476828.7970734
-932,105,504,1742476828.846666
-909,116,502,1742476828.8966882
-846,-7,519,1742476828.9467287
-743,65,670,1742476828.996349
-606,59,789,1742476829.0473654
-325,63,919,1742476829.0976717
25,45,970,1742476829.1476057
421,52,893,1742476829.1969576
454,64,784,1742476829.2465968
809,31,619,1742476829.2972353
915,30,535,1742476829.3467295
911,28,481,1742476829.397218
896,23,505,1742476829.4469678
826,32,616,1742476829.5114179
683,24,730,1742476829.5623937
531,-53,825,1742476829.6132646
143,-11,965,1742476829.663387
-369,123,1000,1742476829.7127821
-502,69,845,1742476829.7632594
-740,86,731,1742476829.814548
-847,92,613,1742476829.8676717
-912,101,557,1742476829.9131699
-938,92,576,1742476829.9678867
-861,119,654,1742476830.0133917
